"zip","prescriptions","opiods","antibiotics","long_acting_opiods","antipsychotics"
"38106","11729","174","267",NULL,NULL
"37075","457975","41821","15723","7731","6216"
"37066","334190","22651","11245","3378","6151"
"39129","202","27","95",NULL,NULL
"37122","111291","7409","5367","1154","317"
"37322","30118","1275","1389","42","94"
"37312","334547","15767","14069","1195","6781"
"37324","18321","672","757","14","47"
"38503","993","124","11",NULL,NULL
"37389","437",NULL,NULL,NULL,NULL
"37387","19998","4498","457","1420","99"
"38014","35",NULL,"35",NULL,NULL
"38343","116423","5254","5241","195","1233"
"37167","173573","10627","6904","1077","1667"
"37745","266159","17111","11725","1783","1797"
"38108","10066","274","171",NULL,NULL
"38133","147853","9579","6757","490","985"
"37760","205938","17494","7014","1925","1098"
"37852","1248","22","42",NULL,NULL
"37920","412380","24469","20601","1700","893"
"38069","4143","58","81",NULL,NULL
"37813","226963","25833","9964","4190","1628"
"37721","10154","2281","337","699",NULL
"38028","1926","63","67",NULL,"22"
"37033","59416","3749","1809","124","761"
"38040","30237","1939","1614","86","177"
"37210","14455","922","721","110","207"
"37318","168","101","56",NULL,NULL
"37716","126112","6152","5418","1129","1202"
"37708","37674","1619","1852","20","152"
"38340","112836","9648","4044","776","1060"
"38112","93128","4295","2565","211","1538"
"37405","55217","548","851",NULL,"8252"
"37221","43057","4572","1926","491","231"
"38549","66230","1906","3994","117","890"
"37825","109644","6036","3607","166","2850"
"37205","556829","24507","17419","1762","3186"
"37861","31162","1547","1238","233","514"
"37890","14224","504","838",NULL,"22"
"37091","83357","7583","3208","957","639"
"38585","23598","1285","590","114","445"
"37618","14730","141","714",NULL,"12"
"38562","27102","1042","544","93","20"
"38236","170",NULL,"73",NULL,NULL
"06320","23",NULL,NULL,NULL,"12"
"37302","36126","1146","764","83","671"
"37020","1244","19","37",NULL,NULL
"38018","157020","18021","3234","3352","8436"
"37354","54427","6007","1548","1335","544"
"37174","73763","5179","2408","727","140"
"37080","4295","476","400","71","21"
"38571","2510","76","171",NULL,"430"
"38075","36",NULL,"36",NULL,NULL
"37408","11522","884","383","148","99"
"37088","2146","1378",NULL,"217",NULL
"38367","15594","1906","255","148","38"
"37756","57819","2470","3011","11","324"
"37083","89355","2808","4091","230","1122"
"37777","13415","517","543",NULL,"1237"
"38558","3268",NULL,"55",NULL,NULL
"37406","14177","639","441",NULL,"101"
"37216","778","177","421",NULL,NULL
"37035","83",NULL,NULL,NULL,"21"
"37321","98929","8872","4186","904","2223"
"38261","188885","18953","7083","3162","1497"
"37780","5178","61","246",NULL,"63"
"37397","31258","1044","892","22","730"
"38004","32571","4049","1110","1043","353"
"37049","10411","817","508","27","62"
"38344","110595","6005","4442","389","1263"
"37380","30313","2426","1366","140","151"
"38135","29282","1602","779","12","744"
"38485","95911","5140","3481","148","1036"
"37662","603","222","176",NULL,NULL
"37807","67847","3334","1969","583","1905"
"37357","7816","1737",NULL,"499","1433"
"37187","9273","324","357",NULL,"32"
"37220","87",NULL,"87",NULL,NULL
"37774","77946","3082","2853","447","1522"
"37308","38",NULL,NULL,NULL,NULL
